name,date_utc,rocket,launchpad,success,payloads,rocket_name,launch_site,launch_region,payload_id,payload_mass_kg,year,latitude,longitude
CRS-6,2015-04-14 20:10:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4bdb6c3bb0006eeb1fa'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4bdb6c3bb0006eeb1fa,1898.0,2015,,
TürkmenÄlem 52°E / MonacoSAT,2015-04-27 23:03:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4beb6c3bb0006eeb1fb'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4beb6c3bb0006eeb1fb,4707.0,2015,,
CRS-7,2015-06-28 14:21:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,0,['5eb0e4beb6c3bb0006eeb1fc'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4beb6c3bb0006eeb1fc,2477.0,2015,,
OG-2 Mission 2,2015-12-22 01:29:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4beb6c3bb0006eeb1fd'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4beb6c3bb0006eeb1fd,2034.0,2015,,
Jason 3,2016-01-17 15:42:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4502f509092b78566f87,1,['5eb0e4beb6c3bb0006eeb1fe'],Falcon 9,VAFB SLC 4E,California,5eb0e4beb6c3bb0006eeb1fe,553.0,2016,34.632093,-120.610829
SES-9,2016-03-04 23:35:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4beb6c3bb0006eeb1ff'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4beb6c3bb0006eeb1ff,5271.0,2016,,
CRS-8,2016-04-08 20:43:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4bfb6c3bb0006eeb200'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4bfb6c3bb0006eeb200,3136.0,2016,,
JCSAT-2B,2016-05-06 05:21:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4bfb6c3bb0006eeb201'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4bfb6c3bb0006eeb201,4696.0,2016,,
Thaicom 8,2016-05-27 21:39:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4bfb6c3bb0006eeb202'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4bfb6c3bb0006eeb202,3100.0,2016,,
ABS-2A / Eutelsat 117W B,2016-06-15 14:29:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,"['5eb0e4bfb6c3bb0006eeb203', '5eb0e4bfb6c3bb0006eeb204']",Falcon 9,CCSFS SLC 40,Florida,5eb0e4bfb6c3bb0006eeb203,1800.0,2016,,
CRS-9,2016-07-18 04:45:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4c0b6c3bb0006eeb205'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4c0b6c3bb0006eeb205,2257.0,2016,,
JCSAT-16,2016-08-14 05:26:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,1,['5eb0e4c1b6c3bb0006eeb206'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4c1b6c3bb0006eeb206,4600.0,2016,,
Amos-6,2016-09-01 13:07:00+00:00,5e9d0d95eda69973a809d1ec,5e9e4501f509094ba4566f84,0,['5eb0e4c1b6c3bb0006eeb207'],Falcon 9,CCSFS SLC 40,Florida,5eb0e4c1b6c3bb0006eeb207,5500.0,2016,,
